ENST_ID_msk	Gene	RefSeq_ID	ENSG_ID	ENST_ID_tissue	TPM
ENST00000295897	ALB	NM_000477.5	ENSG00000163631	ENST00000511370	0.825
ENST00000389048	ALK	NM_004304.4	ENSG00000171094	ENST00000431873	0.04
ENST00000301030	ANKRD11	NM_013275.5	ENSG00000167522	ENST00000562275	15.19
ENST00000324856	ARID1A	NM_006015.4	ENSG00000117713	ENST00000636219	16.354999999999997
ENST00000346085	ARID1B	NM_020732.3	ENSG00000049618	ENST00000635928	5.655
ENST00000334344	ARID2	NM_152641.2	ENSG00000189079	ENST00000457135	2.06
ENST00000375687	ASXL1	NM_015338.5	ENSG00000171456	ENST00000306058	24.995
ENST00000278616	ATM	NM_000051.3	ENSG00000149311	ENST00000638786	6.55
ENST00000350721	ATR	NM_001184.3	ENSG00000175054	ENST00000504521	3.98
ENST00000398590	ATXN7	NM_001177387.1	ENSG00000163635	ENST00000538065	5.56
ENST00000347343	AURKA	NM_003600.2	ENSG00000087586	ENST00000371356	0.43
ENST00000585124	AURKB	NM_004217.3	ENSG00000178999	ENST00000534871	0.72
ENST00000262320	AXIN1	NM_003502.3	ENSG00000103126	ENST00000354866	10.07
ENST00000307078	AXIN2	NM_004655.3	ENSG00000168646	ENST00000618960	9.005
ENST00000558401	B2M	NM_004048.2	ENSG00000166710	ENST00000561424	3384.0
ENST00000359435	BABAM1	NM_001033549.1	ENSG00000105393	ENST00000598188	17.41
ENST00000460680	BAP1	NM_004656.3	ENSG00000163930	ENST00000469613	17.09
ENST00000449228	BBC3	NM_001127240.2	ENSG00000105327	ENST00000341983	3.4450000000000003
ENST00000378444	BCOR	NM_001123385.1	ENSG00000183337	ENST00000442018	4.055
ENST00000532808	BIRC3	NM_182962.2	ENSG00000023445	ENST00000263464	9.775
ENST00000355112	BLM	NM_000057.2	ENSG00000197299	ENST00000558825	0.405
ENST00000372037	BMPR1A	NM_004329.2	ENSG00000107779	ENST00000636056	4.84
ENST00000288602	BRAF	NM_004333.4	ENSG00000157764	ENST00000496384	7.8
ENST00000357654	BRCA1	NM_007294.3	ENSG00000012048	ENST00000352993	0.88
ENST00000544455	BRCA2	NM_000059.3	ENSG00000139618	ENST00000380152	0.36
ENST00000327064	CARM1	NM_199141.1	ENSG00000142453	ENST00000344150	13.895
ENST00000358485	CASP8	NM_001080125.1	ENSG00000064012	ENST00000323492	8.43
ENST00000262643	CCNE1	NM_001238.2	ENSG00000105173	ENST00000444983	0.44
ENST00000318443	CD276	NM_001024736.1	ENSG00000103855	ENST00000559465	19.345
ENST00000400259	CDC42	NM_001791.3	ENSG00000070831	ENST00000344548	107.1
ENST00000424848	CDK6	NM_001145306.1	ENSG00000105810	ENST00000265734	3.58
ENST00000381527	CDK8	NM_001260.1	ENSG00000132964	ENST00000477277	3.2
ENST00000304494	CDKN2A	NM_000077.4	ENSG00000147889	ENST00000579755	0.515
ENST00000361570	CDKN2A	NM_058195.3	ENSG00000147889	ENST00000579755	0.515
ENST00000534070	CHEK1	NM_001274.5	ENSG00000149554	ENST00000438015	0.82
ENST00000328354	CHEK2	NM_007194.3	ENSG00000183765	ENST00000472807	1.08
ENST00000381567	CRLF2	NM_022148.2	ENSG00000205755	ENST00000381566	0.21
ENST00000438362	CSDE1	NM_001242891.1	ENSG00000009307	ENST00000339438	135.4
ENST00000373106	CSF3R	NM_000760.3	ENSG00000119535	ENST00000361632	90.265
