gene_name	msk_enst	mane_enst	msk_refseq	mane_refseq
AKT1	ENST00000407796.6	ENST00000649815.2	NM_001014431.2	NM_001382430.1
ARID1B	ENST00000647938.1	ENST00000636930.2	NM_020732.3	NM_001374828.1
ATXN7	ENST00000522345.2	ENST00000674280.1	NM_001177387.1	NM_001377405.1
AURKA	ENST00000347343.6	ENST00000395915.8	NM_003600.4	NM_198437.3
B2M	ENST00000648006.2	ENST00000648006.3	NM_004048.3	NM_004048.4
BABAM1	ENST00000359435.8	ENST00000598188.6	NM_001033549.2	NM_014173.4
BBC3	ENST00000449228.5	ENST00000439096.3	NM_001127240.3	NM_014417.5
BCL2	ENST00000398117.1	ENST00000333681.5	NM_000633.2	NM_000633.3
BIRC3	ENST00000615299.4	ENST00000263464.9	NM_182962.3	NM_001165.5
BRAF	ENST00000646891.1	ENST00000644969.2	NM_004333.6	NM_001374258.1
BRD4	ENST00000263377.6	ENST00000679869.1	NM_058243.2	NM_001379291.1
CARD11	ENST00000396946.8	ENST00000396946.9	NM_032415.6	NM_032415.7
CASP8	ENST00000358485.8	ENST00000673742.1	NM_001080125.2	NM_001372051.1
CD79B	ENST00000392795.7	ENST00000006750.8	NM_001039933.3	NM_000626.4
CDKN1A	ENST00000448526.6	ENST00000244741.10	NM_078467.3	NM_000389.5
CDKN2A	ENST00000304494.9	ENST00000304494.10	NM_000077.4	NM_000077.5
CSDE1	ENST00000610726.4	ENST00000358528.9	NM_001242891.1	NM_001007553.3
CSF1R	ENST00000286301.7	ENST00000675795.1	NM_005211.3	NM_001288705.3
CYLD	ENST00000569418.5	ENST00000427738.8	NM_001042355.2	NM_001378743.1
DNMT1	ENST00000340748.8	ENST00000359526.9	NM_001379.4	NM_001130823.3
DROSHA	ENST00000511367.6	ENST00000344624.8	NM_013235.5	NM_001382508.1
EGFL7	ENST00000371698.3	ENST00000308874.12	NM_201446.3	NM_016215.5
EIF4E	ENST00000280892.10	ENST00000450253.7	NM_001130678.3	NM_001968.5
EPHA5	ENST00000273854.7	ENST00000613740.5	NM_004439.8	NM_001281766.3
ERBB2	ENST00000269571.9	ENST00000269571.10	NM_004448.3	NM_004448.4
ESR1	ENST00000443427.5	ENST00000206249.8	NM_001122740.1	NM_000125.4
ETV1	ENST00000405192.6	ENST00000430479.6	NM_001163147.1	NM_004956.5
FBXW7	ENST00000603548.6	ENST00000281708.10	NM_033632.3	NM_001349798.2
FGFR1	ENST00000425967.7	ENST00000447712.7	NM_001174067.1	NM_023110.3
FGFR3	ENST00000440486.7	ENST00000440486.8	NM_000142.4	NM_000142.5
FIP1L1	ENST00000358575.9	ENST00000337488.11	NM_001134937.2	NM_030917.4
FOXP1	ENST00000498215.6	ENST00000649528.3	NM_001244814.2	NM_001349338.3
FYN	ENST00000368682.7	ENST00000354650.7	NM_153047.4	NM_002037.5
