ENST00000263100.8	A1BG	NM_130786.4
ENST00000373997.8	A1CF	NM_014576.4
ENST00000318602.12	A2M	NM_000014.6
ENST00000299698.12	A2ML1	NM_144670.6
ENST00000442999.3	A3GALT2	NM_001080438.1
ENST00000642412.2	A4GALT	NM_017436.7
ENST00000236709.4	A4GNT	NM_016161.3
ENST00000209873.9	AAAS	NM_015665.6
ENST00000316519.11	AACS	NM_023928.5
ENST00000232892.12	AADAC	NM_001086.3
ENST00000356517.4	AADACL2	NM_207365.4
ENST00000359318.8	AADACL3	NM_001103170.3
ENST00000376221.2	AADACL4	NM_001013630.2
ENST00000337664.9	AADAT	NM_016228.4
ENST00000261880.10	AAGAB	NM_024666.5
ENST00000409085.9	AAK1	NM_014911.5
ENST00000248450.9	AAMP	NM_001087.5
ENST00000392492.8	AANAT	NM_001088.3
ENST00000320849.9	AAR2	NM_001271874.2
ENST00000378279.4	AARD	NM_001025357.3
ENST00000261772.13	AARS1	NM_001605.3
ENST00000244571.5	AARS2	NM_020745.4
ENST00000427569.7	AARSD1	NM_001261434.2
ENST00000205214.11	AASDH	NM_181806.4
ENST00000278618.9	AASDHPPT	NM_015423.3
ENST00000417368.7	AASS	NM_005763.4
ENST00000619387.5	AATF	NM_012138.4
ENST00000326724.9	AATK	NM_001080395.3
ENST00000268251.13	ABAT	NM_020686.6
ENST00000374736.8	ABCA1	NM_005502.4
ENST00000272895.12	ABCA12	NM_173076.3
ENST00000435803.6	ABCA13	NM_152701.5
ENST00000341511.11	ABCA2	NM_001606.5
ENST00000301732.10	ABCA3	NM_001089.3
ENST00000370225.4	ABCA4	NM_000350.3
ENST00000392676.8	ABCA5	NM_172232.4
ENST00000284425.7	ABCA6	NM_080284.3
ENST00000263094.11	ABCA7	NM_019112.4
ENST00000586539.6	ABCA8	NM_001288985.2
ENST00000340001.9	ABCA9	NM_080283.4
ENST00000622132.5	ABCB1	NM_001348946.2
ENST00000344517.5	ABCB10	NM_012089.3
ENST00000650372.1	ABCB11	NM_003742.4
ENST00000649586.2	ABCB4	NM_000443.4
ENST00000265316.9	ABCB6	NM_005689.4
ENST00000373394.8	ABCB7	NM_001271696.3
ENST00000358849.9	ABCB8	NM_007188.5
ENST00000280560.13	ABCB9	NM_019625.4
ENST00000399410.8	ABCC1	NM_004996.4
ENST00000372530.9	ABCC10	NM_001198934.2
ENST00000356608.7	ABCC11	NM_001370497.1
ENST00000647814.1	ABCC2	NM_000392.5
ENST00000285238.13	ABCC3	NM_003786.4
ENST00000645237.2	ABCC4	NM_005845.5
ENST00000334444.11	ABCC5	NM_005688.4
ENST00000205557.12	ABCC6	NM_001171.6
ENST00000389817.8	ABCC8	NM_000352.6
ENST00000218104.6	ABCD1	NM_000033.4
ENST00000308666.4	ABCD2	NM_005164.4
ENST00000370214.9	ABCD3	NM_002858.4
ENST00000356924.9	ABCD4	NM_005050.4
ENST00000296577.9	ABCE1	NM_002940.3
ENST00000326195.13	ABCF1	NM_001025091.2
ENST00000287844.7	ABCF2	NM_007189.3
ENST00000398449.8	ABCG1	NM_016818.3
ENST00000237612.8	ABCG2	NM_004827.3
ENST00000619701.5	ABCG4	NM_022169.5
ENST00000405322.8	ABCG5	NM_022436.3
ENST00000272286.4	ABCG8	NM_022437.3
ENST00000316470.9	ABHD1	NM_032604.4
ENST00000273359.8	ABHD10	NM_018394.4
ENST00000339157.10	ABHD12	NM_001042472.3
ENST00000337334.7	ABHD12B	NM_001206673.2
ENST00000375898.4	ABHD13	NM_032859.3
