ENST_ID_msk	Gene	RefSeq_ID	ENSG_ID	ENST_ID_tissue	TPM
ENST00000295897	ALB	NM_000477.5	ENSG00000163631	ENST00000511370	1.38
ENST00000389048	ALK	NM_004304.4	ENSG00000171094	ENST00000431873	0.03
ENST00000301030	ANKRD11	NM_013275.5	ENSG00000167522	ENST00000378330	7.26
ENST00000324856	ARID1A	NM_006015.4	ENSG00000117713	ENST00000636219	11.46
ENST00000346085	ARID1B	NM_020732.3	ENSG00000049618	ENST00000635928	2.98
ENST00000334344	ARID2	NM_152641.2	ENSG00000189079	ENST00000457135	1.37
ENST00000375687	ASXL1	NM_015338.5	ENSG00000171456	ENST00000306058	10.49
ENST00000336112	ASXL2	NM_018263.4	ENSG00000143970	ENST00000435504	1.65
ENST00000278616	ATM	NM_000051.3	ENSG00000149311	ENST00000638786	4.26
ENST00000350721	ATR	NM_001184.3	ENSG00000175054	ENST00000504521	2.51
ENST00000398590	ATXN7	NM_001177387.1	ENSG00000163635	ENST00000538065	2.85
ENST00000347343	AURKA	NM_003600.2	ENSG00000087586	ENST00000395915	0.47
ENST00000585124	AURKB	NM_004217.3	ENSG00000178999	ENST00000534871	0.37
ENST00000262320	AXIN1	NM_003502.3	ENSG00000103126	ENST00000354866	5.61
ENST00000307078	AXIN2	NM_004655.3	ENSG00000168646	ENST00000618960	2.77
ENST00000558401	B2M	NM_004048.2	ENSG00000166710	ENST00000561424	823.3
ENST00000359435	BABAM1	NM_001033549.1	ENSG00000105393	ENST00000598188	14.72
ENST00000460680	BAP1	NM_004656.3	ENSG00000163930	ENST00000469613	12.58
ENST00000449228	BBC3	NM_001127240.2	ENSG00000105327	ENST00000341983	1.76
ENST00000378444	BCOR	NM_001123385.1	ENSG00000183337	ENST00000442018	2.84
ENST00000355112	BLM	NM_000057.2	ENSG00000197299	ENST00000560821	0.17
ENST00000372037	BMPR1A	NM_004329.2	ENSG00000107779	ENST00000636056	2.81
ENST00000288602	BRAF	NM_004333.4	ENSG00000157764	ENST00000496384	3.8
ENST00000357654	BRCA1	NM_007294.3	ENSG00000012048	ENST00000352993	0.6
ENST00000544455	BRCA2	NM_000059.3	ENSG00000139618	ENST00000380152	0.13
ENST00000327064	CARM1	NM_199141.1	ENSG00000142453	ENST00000344150	9.68
ENST00000358485	CASP8	NM_001080125.1	ENSG00000064012	ENST00000323492	2.03
ENST00000290858	CBFB	NM_022845.2	ENSG00000067955	ENST00000412916	3.72
ENST00000372991	CCND3	NM_001760.3	ENSG00000112576	ENST00000415497	18.99
ENST00000262643	CCNE1	NM_001238.2	ENSG00000105173	ENST00000444983	0.45
ENST00000318443	CD276	NM_001024736.1	ENSG00000103855	ENST00000559465	11.66
ENST00000392795	CD79B	NM_001039933.1	ENSG00000007312	ENST00000559358	0.74
ENST00000400259	CDC42	NM_001791.3	ENSG00000070831	ENST00000344548	60.98
ENST00000424848	CDK6	NM_001145306.1	ENSG00000105810	ENST00000265734	3.61
ENST00000381527	CDK8	NM_001260.1	ENSG00000132964	ENST00000477277	2.98
ENST00000304494	CDKN2A	NM_000077.4	ENSG00000147889	ENST00000579755	0.33
ENST00000361570	CDKN2A	NM_058195.3	ENSG00000147889	ENST00000579755	0.33
ENST00000534070	CHEK1	NM_001274.5	ENSG00000149554	ENST00000438015	0.77
ENST00000328354	CHEK2	NM_007194.3	ENSG00000183765	ENST00000434810	0.71
ENST00000381567	CRLF2	NM_022148.2	ENSG00000205755	ENST00000381566	0.06
ENST00000438362	CSDE1	NM_001242891.1	ENSG00000009307	ENST00000339438	75.73
ENST00000373106	CSF3R	NM_000760.3	ENSG00000119535	ENST00000361632	1.65
ENST00000264414	CUL3	NM_003590.4	ENSG00000036257	ENST00000409096	11.15
ENST00000569418	CYLD	NM_001042355.1	ENSG00000083799	ENST00000427738	3.41
ENST00000292782	DCUN1D1	NM_020640.2	ENSG00000043093	ENST00000632685	2.35
ENST00000367921	DDR2	NM_006182.2	ENSG00000162733	ENST00000367922	5.98
ENST00000343455	DICER1	NM_177438.2	ENSG00000100697	ENST00000393063	4.23
ENST00000377767	DIS3	NM_014953.3	ENSG00000083520	ENST00000377780	2.94
ENST00000540357	DNMT1	NM_001379.2	ENSG00000130816	ENST00000591798	6.63
ENST00000321117	DNMT3A	NM_022552.4	ENSG00000119772	ENST00000264709	3.1
ENST00000328111	DNMT3B	NM_006892.3	ENSG00000088305	ENST00000348286	0.27
ENST00000511367	DROSHA	NM_013235.4	ENSG00000113360	ENST00000514927	7.67
ENST00000346618	E2F3	NM_001949.4	ENSG00000112242	ENST00000535432	1.49
ENST00000263360	EED	NM_003797.3	ENSG00000074266	ENST00000351625	2.03
ENST00000440191	EIF4A2	NM_001967.3	ENSG00000156976	ENST00000323963	66.78
ENST00000367284	ELF3	NM_004433.4	ENSG00000163435	ENST00000475698	51.39
ENST00000273854	EPHA5	NM_004439.5	ENSG00000145242	ENST00000613740	0.07
ENST00000398015	EPHB1	NM_004441.4	ENSG00000154928	ENST00000467013	0.12
ENST00000540147	ERBB2	NM_004448.2	ENSG00000141736	ENST00000541774	14.39
ENST00000267101	ERBB3	NM_001982.3	ENSG00000065361	ENST00000549832	23.39
ENST00000342788	ERBB4	NM_005235.2	ENSG00000178568	ENST00000402597	0.1
ENST00000391945	ERCC2	NM_000400.3	ENSG00000104884	ENST00000391942	2.38
ENST00000355739	ERCC5	NM_000123.3	ENSG00000134899	ENST00000472247	16.58
ENST00000222329	ERF	NM_006494.2	ENSG00000105722	ENST00000440177	8.77
ENST00000288319	ERG	NM_182918.3	ENSG00000157554	ENST00000398905	1.13
ENST00000443427	ESR1	NM_001122740.1	ENSG00000091831	ENST00000427531	0.2
ENST00000415827	EZH1	NM_001991.3	ENSG00000108799	ENST00000428826	10.06
ENST00000320356	EZH2	NM_004456.4	ENSG00000106462	ENST00000492143	0.67
ENST00000406277	FAM58A	NM_152274.4	ENSG00000262919	ENST00000440428	5.61
ENST00000441802	FAT1	NM_005245.3	ENSG00000083857	ENST00000500085	10.88
ENST00000281708	FBXW7	NM_033632.3	ENSG00000109670	ENST00000296555	3.78
ENST00000425967	FGFR1	NM_001174067.1	ENSG00000077782	ENST00000326324	2.54
ENST00000358487	FGFR2	NM_000141.4	ENSG00000066468	ENST00000369061	1.61
ENST00000440486	FGFR3	NM_000142.4	ENSG00000068078	ENST00000352904	2.0
ENST00000358575	FIP1L1	NM_001134937.1	ENSG00000145216	ENST00000513008	3.91
ENST00000498215	FOXP1	NM_001244814.1	ENSG00000114861	ENST00000614176	8.24
ENST00000538466	FYN	NM_153047.3	ENSG00000010810	ENST00000368667	7.61
ENST00000228682	GLI1	NM_005269.2	ENSG00000111087	ENST00000543426	0.44
ENST00000371085	GNAS	NM_000516.4	ENSG00000087460	ENST00000480975	131.3
ENST00000389167	GPS2	NM_004489.4	ENSG00000132522	ENST00000380728	13.3
ENST00000300177	GREM1	NM_013372.6	ENSG00000166923	ENST00000560830	8.62
ENST00000330684	GRIN2A	NM_001134407.1	ENSG00000183454	ENST00000396573	0.14
ENST00000254810	H3F3B	NM_005324.3	ENSG00000132475	ENST00000589599	81.5
ENST00000377777	HIST1H2BD	NM_021063.3	ENSG00000158373	ENST00000289316	4.5
ENST00000357647	HIST1H3A	NM_003529.2	ENSG00000275714	ENST00000613854	0.11
ENST00000377831	HIST1H3D	NM_003530.4	ENSG00000197409	ENST00000356476	0.15
ENST00000360408	HIST1H3E	NM_003532.2	ENSG00000274750	ENST00000634733	0.68
ENST00000305910	HIST1H3G	NM_003534.2	ENSG00000273983	ENST00000614378	0.03
ENST00000541395	HNF1A	NM_000545.5	ENSG00000135100	ENST00000257555	1.36
ENST00000451590	HRAS	NM_005343.2	ENSG00000174775	ENST00000311189	9.86
